ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
aari,,2,aar,aiw,{},6.0,36.5833333333,Africa,,Aari,2,False,False
abau,,3,aba,aau,{},-4.0,141.25,Papunesia,,Abau,3,False,False
abaza,,7,abz,abq,{},44.0,42.0,Eurasia,,Abaza,16,False,False
abenaki western,,13,abw,abe,{},44.0,-72.25,North America,,Abenaki (Western),15,False,False
abidji,,5,abd,abi,{},5.66666666667,-4.58333333333,Africa,,Abidji,5,False,False
abipon,,6,abi,axb,{},-29.0,-61.0,South America,,Abipón,8,False,True
abkhaz,,7,abk,abk,{},43.0833333333,41.0,Eurasia,,Abkhaz,9,True,True
abui,,12,abv,abz,{},-8.25,124.666666667,Papunesia,,Abui,14,False,False
abun,,11,abu,kgr,{},-0.5,132.5,Papunesia,,Abun,13,False,False
acehnese,,14,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,17,False,False
achagua,,15,acg,aca,{},4.41666666667,-72.25,South America,,Achagua,18,False,False
achang,,20,acn,acn,{},25.0,98.5,Eurasia,,Achang,23,False,False
ache,,16,ach,guq,{},-25.25,-55.1666666667,South America,,Aché,19,False,False
achi,,17,aci,acr,{},15.1666666667,-90.5,North America,,Achí,20,False,False
acholi,,18,acl,ach,{},3.0,32.6666666667,Africa,,Acholi,21,False,False
achuar,,22,acu,acu,{},-2.66667,-76.0,South America,,Achuar,25,False,False
achumawi,,19,acm,acv,{},41.5,-121.0,North America,,Achumawi,22,False,False
acoma,,21,aco,kjq,{},34.9166666667,-107.583333333,North America,,Acoma,24,True,True
adamorobe sign language,,23,ada,ads,{},5.83333333333,-0.166666666667,Africa,,Adamorobe Sign Language,26,False,False
adang,,12,adg,adn,{},-8.2,124.0,Papunesia,,Adang,27,False,False
adioukrou,,5,adi,adj,{},5.41666666667,-4.58333333333,Africa,,Adioukrou,28,False,False
adyghe abzakh,,7,ady,ady,{},45.2333333333,40.5833333333,Eurasia,,Adyghe (Abzakh),32,False,False
adyghe shapsugh,,7,ash,ady,{},45.0,38.75,Eurasia,,Adyghe (Shapsugh),152,False,False
adyghe temirgoy,,7,adt,ady,{},45.2166666667,39.7,Eurasia,,Adyghe (Temirgoy),31,False,False
adynyamathanha,,9,adn,adt,{},-30.5,139.5,Australia,,Adynyamathanha,30,False,False
adzera,,25,adz,adz,{},-6.25,146.25,Papunesia,,Adzera,33,False,False
aekyom,,94,awi,awi,{},-5.75,141.416666667,Papunesia,,Aekyom,181,False,False
afrikaans,,27,afr,afr,{},-31.0,22.0,Africa,,Afrikaans,37,False,False
agarabi,,28,aga,agd,{},-6.16666666667,146.0,Papunesia,,Agarabi,38,False,False
aghem,,31,agh,agq,{},6.66666666667,10.0,Africa,,Aghem,42,False,False
aghu,,38,ahu,ahh,{},-6.16666666667,140.166666667,Papunesia,,Aghu,53,False,False
aghul,,32,agl,agx,{},41.75,47.6666666667,Eurasia,,Aghul,43,False,False
agta central,,30,agc,agt,{},17.9666666667,121.833333333,Papunesia,,Agta (Central),40,False,False
agta dupaningan,,30,agd,duo,{},18.0,122.083333333,Papunesia,,Agta (Dupaningan),41,False,False
aguacatec,,17,agu,agu,{},15.4166666667,-91.3333333333,North America,,Aguacatec,48,False,False
aguaruna,,22,agr,agr,{},-5.0,-78.0,South America,,Aguaruna,46,False,False
ahtna,,37,aht,aht,{},62.0,-145.0,North America,,Ahtna,52,False,False
aikana,,39,aik,tba,{},-12.6666666667,-60.6666666667,South America,,Aikaná,54,False,False
ainu,,40,ain,ain,{},43.0,143.0,Eurasia,,Ainu,55,False,True
aizi,,41,aiz,ahp,{},5.25,-4.5,Africa,,Aizi,56,False,False
aja,,42,aja,aja,{},7.33333333333,25.6666666667,Africa,,Aja,57,False,False
ajagbe,,5,ajg,ajg,{},7.0,1.75,Africa,,Ajagbe,58,False,False
ajie,,25,aji,aji,{},-21.3333333333,165.5,Papunesia,,Ajië,59,False,False
aka,,31,aka,axk,{},2.66666666667,16.25,Africa,,Aka,60,False,False
akabiada,,43,akb,abj,{},11.6666666667,92.5,Eurasia,,Aka-Biada,61,False,False
akacari,,43,akc,aci,{},13.5,93.0,Eurasia,,Aka-Cari,62,False,False
akakede,,43,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,64,False,False
akan,,5,akn,aka,{},6.5,-1.25,Africa,,Akan,67,False,False
akawaio,,45,akw,ake,{},6.0,-59.5,South America,,Akawaio,70,False,False
akha,,20,akh,ahk,{},21.8333333333,99.8333333333,Eurasia,,Akha,63,False,False
akhvakh,,74,axv,akv,{},42.3333333333,46.3333333333,Eurasia,,Akhvakh,187,False,False
aklanon,,30,akl,akl,{},11.5833333333,122.333333333,Papunesia,,Aklanon,65,False,False
akwa,,62,awk,png,{},10.0833333333,6.33333333333,Africa,,Akwa,182,False,False
alaala,,25,all,nrz,{},-8.91666666667,146.75,Papunesia,,Ala'ala,78,False,False
alabama,,8,abm,akz,{},32.3333333333,-87.4166666667,North America,,Alabama,10,False,False
alagwa,,36,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,49,False,False
alamblak,,46,ala,amp,{},-4.66666666667,143.333333333,Papunesia,,Alamblak,71,True,True
alas,,53,alx,btz,{},3.66666666667,97.8333333333,Papunesia,,Alas,84,False,False
alawa,,52,alw,alh,{},-15.1666666667,134.25,Australia,,Alawa,83,False,False
albanian,,47,alb,"aln, als",{},41.0,20.0,Eurasia,,Albanian,72,False,False
aleut,,26,ale,ale,{},54.0,-166.0,North America,,Aleut,75,False,False
aleut eastern,,26,aea,ale,{},54.75,-164.0,North America,,Aleut (Eastern),34,False,False
algonquin,,13,alg,alq,{},46.0,-77.0,North America,,Algonquin,76,False,False
alladian,,5,ald,ald,{},5.16666666667,-4.33333333333,Africa,,Alladian,74,False,False
allentiac,,48,alc,,{},-31.0,-68.0,South America,,Allentiac,73,False,False
alsatian,,27,alt,gsw,{},48.5,7.5,Eurasia,,Alsatian,81,False,False
alsea,,50,als,aes,{},44.6666666667,-123.916666667,North America,,Alsea,80,False,False
altai southern,,83,aso,alt,{},51.0,87.0,Eurasia,,Altai (Southern),155,False,False
alune,,49,aln,alp,{},-3.0,128.333333333,Papunesia,,Alune,79,False,False
alutiiq,,91,atq,ems,{},57.0,-157.0,North America,,Alutiiq,167,False,False
alutor,,51,alu,alr,{},61.0,165.0,Eurasia,,Alutor,82,False,False
alyawarra,,9,aly,aly,{},-22.5,135.0,Australia,,Alyawarra,85,False,False
